Date,Employee ID,Employee Level,In (Login time),Out (Logout time),Total Hours
26-06-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
25-06-2021 00:00,201851,Senior Level,10:43,19:37,08:54
24-06-2021 00:00,201851,Senior Level,10:16,21:29,11:13
23-06-2021 00:00,201851,Senior Level,11:05,20:42,09:37
22-06-2021 00:00,201851,Senior Level,10:52,21:43,10:51
21-06-2021 00:00,201851,Senior Level,10:59,21:00,10:01
20-06-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
19-06-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
18-06-2021 00:00,201851,Senior Level,11:50,21:34,09:44
17-06-2021 00:00,201851,Senior Level,11:41,20:23,08:42
16-06-2021 00:00,201851,Senior Level,10:09,20:35,10:26
15-06-2021 00:00,201851,Senior Level,11:05,20:44,09:39
14-06-2021 00:00,201851,Senior Level,10:52,21:04,10:12
13-06-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
06-12-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
06-11-2021 00:00,201851,Senior Level,11:17,20:26,09:09
06-10-2021 00:00,201851,Senior Level,10:40,22:22,11:42
06-09-2021 00:00,201851,Senior Level,10:41,20:53,10:12
06-08-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
06-07-2021 00:00,201851,Senior Level,11:23,21:05,09:42
06-06-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
06-05-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
06-04-2021 00:00,201851,Senior Level,10:45,20:56,10:11
06-03-2021 00:00,201851,Senior Level,09:01,15:18,06:17
06-02-2021 00:00,201851,Senior Level,11:01,20:25,09:24
06-01-2021 00:00,201851,Senior Level,11:12,21:28,10:16
31-05-2021 00:00,201851,Senior Level,10:32,20:41,10:09
30-05-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
29-05-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
28-05-2021 00:00,201851,Senior Level,10:34,20:12,09:38
27-05-2021 00:00,201851,Senior Level,11:02,21:37,10:35
26-05-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
25-05-2021 00:00,201851,Senior Level,10:50,21:49,10:59
24-05-2021 00:00,201851,Senior Level,09:54,20:35,10:41
23-05-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
22-05-2021 00:00,201851,Senior Level,Public Holiday/Weekend,Public Holiday/Weekend,00:00
